media_id,director_id
1477,763
1478,562
1479,562
1480,764
1481,765
1483,766
1484,767
1485,768
1486,315
1487,315
1488,769
1490,770
1491,771
1492,772
1493,171
1494,728
1495,171
1496,773
1497,774
1498,775
1502,776
1502,777
1504,778
1505,779
1507,780
1508,781
1509,782
1510,782
1511,782
1512,783
1514,784
1515,71
1516,785
1517,590
1518,786
1519,787
1520,788
1521,789
1522,790
1524,791
1525,792
1526,793
1527,794
1530,795
1530,3289
1531,796
1532,797
1533,798
1535,799
1536,18
1537,171
1540,123
1542,800
1543,801
1544,802
1545,803
1547,804
1548,805
1548,806
1551,807
1555,422
1556,808
1557,809
1557,810
1559,811
1560,812
1562,10689
1563,813
1567,814
1568,815
1569,10690
1571,816
1572,817
1573,818
1575,18
1577,123
1579,819
1580,52
1585,820
1587,821
1588,822
1589,822
1590,id
1590,823
1591,824
1592,825
1593,826
1595,827
1597,10691
1598,828
1599,497
1600,80
1601,80
1602,497
1603,497
1604,497
1605,497
1606,497
1607,497
1608,497
1609,829
1610,829
1611,830
1612,831
1613,832
1614,833
1615,834
1617,835
1618,836
1619,18
1622,837
1623,837
1625,838
1625,2003
1626,839
1639,68
1642,840
1645,49
1647,841
1648,842
1649,843
1653,844
1654,719
1655,845
1656,846
1657,847
1659,624
1659,848
1662,849
1664,850
1665,497
1666,497
1667,497
1668,497
1670,851
1671,852
1671,852
1672,24
1673,24
1674,853
1675,24
1676,854
1678,855
1679,169
1680,169
1683,856
1684,278
1684,857
1685,9210
1686,858
1689,859
1691,860
1692,861
1692,862
1693,863
1694,408
1694,864
1696,24
1697,865
1698,866
1699,867
1700,49
1701,868
1702,869
1703,870
1706,871
1707,872
1707,873
1708,874
1708,875
1709,874
1709,875
1710,874
1710,875
1711,874
1711,875
1712,840
1713,876
1713,877
1714,878
1716,879
1717,880
1718,880
1719,880
1720,880
1721,880
1722,880
1724,881
1725,882
1726,883
1728,884
1728,3661
1729,885
1732,886
1734,887
1734,888
1735,889
1737,890
1738,891
1739,892
1739,892
1740,699
1742,893
1745,894
1746,895
1747,343
1749,896
1750,897
1751,898
1752,899
1753,900
1754,901
1756,902
1757,903
1758,904
1760,905
1761,906
1762,907
1763,797
1764,497
1770,30
1772,908
1776,909
1777,910
1778,911
1779,912
1782,913
1784,914
1785,915
1785,916
1787,917
1788,314
1789,918
1790,918
1791,918
1792,919
1793,920
1794,921
1795,922
1796,923
1797,924
1798,925
1799,926
1801,927
1802,928
1806,929
1807,930
1808,931
1811,932
1811,933
1812,934
1813,935
1816,172
1819,169
1820,936
1823,937
1824,937
1828,938
1828,9994
1828,9995
1829,707
1830,939
1831,940
1832,24
1833,941
1834,942
1838,943
1839,262
1839,944
1840,9989
1843,945
1845,805
1845,806
1846,33
1847,33
1848,33
1849,80
1850,946
1851,947
1852,948
1853,949
1854,950
1857,951
1858,952
1859,953
1860,954
1864,33
1866,955
1867,956
1869,957
1870,958
1871,959
1871,10692
1872,960
1873,905
1875,961
1876,31
1878,962
1881,963
1885,964
1885,8130
1886,965
1887,966
1891,967
1892,968
1893,10693
1897,969
1898,970
1899,971
1901,972
1903,973
1904,974
1906,975
1906,976
1907,977
1908,978
1909,979
1910,525
1911,980
1917,981
1920,982
1921,983
1922,983
1926,984
1927,985
1928,986
1930,987
1931,988
1933,989
1934,990
1936,991
1937,992
1941,993
1942,80
1943,80
1944,80
1945,887
1945,888
1948,994
1949,995
1950,706
1950,876
1951,171
1952,996
1953,171
1954,997
1955,998
1956,999
1959,171
1960,1000
1961,1001
1961,1002
1961,1003
1961,1004
1961,1005
1961,1006
1961,1007
1963,1008
1965,1009
1966,1009
1967,1010
1968,1011
1969,1012
1970,1013
1971,1014
1976,1009
1977,1009
1978,1015
1982,1016
1983,1017
1984,1017
1985,1017
1986,1017
1987,1018
1987,4868
1988,1019
1991,1020
1992,476
1993,24
1997,514
1998,1021
1999,24
2000,1022
2001,1023
2002,1024
2004,1025
2005,1026
2006,699
2008,1027
2009,1028
2010,1029
2011,1030
2012,169
2014,659
2015,876
2020,604
2020,3661
2021,1031
2027,1032
2028,612
2029,1033
2033,1034
2033,1035
2034,1036
2036,1037
2037,1038
2039,1039
2040,1040
2041,1040
2042,1041
2043,169
2043,1042
2043,169
2044,1042
2044,1043
2044,1042
2044,1043
2045,1044
2045,8227
2046,1045
2048,1046
2050,1031
2051,1047
2052,1048
2053,1049
2054,171
2055,1050
2055,1051
2056,171
2057,1052
2063,1053
2064,1054
2065,1055
2066,1055
2067,1056
2068,1057
2069,1058
2070,1059
2071,1060
2072,80
2073,1061
2074,1062
2076,1063
2076,1064
2077,24
2079,1065
2080,1066
2081,1067
2082,1068
2083,1069
2084,1070
2084,1071
2086,7744
2089,1072
2090,6311
2092,1073
2093,1074
2094,1075
2095,1076
2097,1077
2099,1078
2099,1079
2101,1080
2105,1081
2108,1082
2109,1083
2109,1996
2111,1084
2112,1085
2112,1085
2113,1086
2114,1087
2115,1088
2115,1089
2116,1090
2117,1091
2117,1091
2119,1092
2120,1093
2121,1094
2123,1027
2124,845
2125,171
2125,171
2126,1095
2129,1096
2132,1097
2133,1098
2134,1099
2134,1099
2135,1100
2136,1101
2137,1031
2138,1102
2140,1103
2143,1104
2146,1105
2147,1106
2148,1106
2150,1107
2151,1108
2152,1109
2153,1110
2154,1111
2155,1112
2156,892
