media_id,actor_id
123,481
123,482
123,483
123,484
123,485
124,486
124,487
124,488
125,489
125,490
125,491
126,492
126,493
126,494
126,495
126,496
127,497
127,498
129,499
130,500
131,501
131,502
131,503
131,504
132,505
132,506
132,507
132,508
132,509
132,510
132,511
133,512
133,513
133,514
133,515
133,516
133,517
133,518
133,519
135,520
135,521
135,522
135,523
135,524
136,525
136,526
137,527
137,528
137,529
137,530
139,531
139,532
140,533
140,534
140,535
140,536
140,537
141,538
141,539
141,540
141,541
141,542
141,543
141,30588
142,544
142,545
142,546
142,547
142,548
143,549
143,550
143,551
144,552
144,553
144,554
145,555
145,556
145,557
146,558
146,559
146,560
151,561
151,562
151,563
151,564
151,565
151,566
151,567
151,568
151,569
151,570
151,571
151,572
151,573
151,574
151,575
151,576
151,577
152,578
152,579
153,580
153,581
153,582
153,583
153,584
153,585
153,586
153,587
153,588
153,589
153,590
153,591
153,45199
154,580
154,581
154,582
154,583
154,584
154,585
154,586
154,587
154,588
154,589
154,590
154,591
154,45199
155,592
155,593
155,594
155,595
155,596
155,597
155,598
155,599
155,600
155,601
155,602
156,603
156,604
156,605
156,606
157,607
158,607
159,608
159,609
159,610
159,611
159,612
159,613
159,614
160,615
160,616
160,617
160,618
160,619
160,620
160,621
160,622
160,623
160,60778
161,624
161,625
161,626
161,627
162,182
162,628
162,629
162,630
162,631
162,632
162,633
163,634
163,635
163,636
163,637
163,638
163,639
163,640
163,641
163,642
164,643
164,644
164,645
164,646
164,647
164,648
164,649
165,650
165,651
165,652
165,653
166,654
166,655
166,656
166,657
166,658
166,659
166,1080
166,2522
167,660
167,661
167,662
167,663
167,664
168,665
168,666
168,667
168,668
169,669
169,670
169,671
172,672
172,673
173,674
173,675
173,676
173,677
173,678
173,679
174,680
174,681
174,682
175,683
175,684
175,685
175,686
178,687
179,688
179,689
180,690
180,691
181,692
181,693
181,694
181,695
182,696
182,697
182,698
183,699
183,700
183,701
183,702
183,703
184,704
184,705
184,706
184,707
184,708
185,709
185,710
185,711
187,712
188,713
188,714
188,715
188,14887
189,716
189,717
189,718
189,719
189,720
189,721
189,722
189,723
190,724
191,725
191,726
192,727
192,728
193,729
196,730
196,731
198,732
198,733
198,734
198,735
198,736
199,737
200,738
201,739
201,740
201,741
201,742
201,743
202,744
202,745
202,746
202,747
203,748
203,749
203,750
204,748
204,749
204,750
205,748
205,749
205,750
206,751
206,752
206,753
207,754
207,755
207,756
212,757
212,758
212,759
212,760
212,761
212,762
213,763
213,764
213,765
214,766
214,767
214,768
214,769
214,770
215,771
215,772
215,773
215,774
215,775
215,776
215,777
215,778
215,779
215,780
216,781
216,782
216,783
216,784
216,785
216,786
218,787
218,788
218,789
218,790
218,791
218,792
218,793
218,794
218,795
218,796
218,797
219,730
219,731
220,798
221,799
221,800
221,801
221,802
221,268
221,1302
221,1554
221,1718
221,2291
221,6042
221,6210
221,6641
221,8463
221,10548
221,15149
221,25439
221,25798
221,31770
221,35989
221,39560
221,40178
221,42925
221,42926
221,42927
221,42928
221,42929
221,42930
222,342
222,344
222,349
222,350
